date,time,Fuso horário,format,text,favorite,date_utc,time_utc,notes,details
10-12-2024,07:47:44,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907534957570|20240928115912|65.10||HVhpUi8rToy5GICaCS4avnr1GrfqvvZJDHUbjRfk6J8sQgGJvBeYJSDpxa67ocovRHD/WiI/z9SlxfmrTDiEDG3zhyZ2VZ0,0,10-12-2024,07:47:44,,
10-12-2024,07:47:35,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907543780831|20240928120009|1.205.40||K8CLFaB7,0,10-12-2024,07:47:35,,
10-12-2024,07:47:29,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907559848503|20240928120324|45.00||O3AdpBKLIsXsidCpzbUJ,0,10-12-2024,07:47:29,,
10-12-2024,07:47:24,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907598843304|20240928121126|19.53||Bpa1XN1y1vZ5jRXs93PtocHmUmqwgFhK3y0Pc4uROUWwh1t,0,10-12-2024,07:47:24,,
10-12-2024,07:47:15,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907600818189|20240928121525|57.80||aVxmerftIkj6MVN04A8XpAEu/ZG4hsCTLz/C8Ly1b6YyXz9AJJvj/3fGBg2eRSe26hgl5qiXJpDL0COoLGqFaT7,0,10-12-2024,07:47:15,,
10-12-2024,07:47:09,Horário Padrão de Brasília,CODE_128,35240943017003000140590011359531907610764677,0,10-12-2024,07:47:09,,
10-12-2024,07:47:01,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907658780370|20240928122558|9.99||BI1KYmcK5KnjeY3uLYi9i,0,10-12-2024,07:47:01,,
10-12-2024,07:46:56,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907687805009|20240928123208|12.60||atmDauspCVqey2mxgSCPahFd8lIvhUa9FsxNISow45X5pQxuxpQ3SY,0,10-12-2024,07:46:56,,
10-12-2024,07:46:49,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907696518041|20240928123352|28.68||Z/QZnHEn4IakCKp7axmU8e,0,10-12-2024,07:46:49,,
10-12-2024,07:46:44,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907704815739|20240928123436|8.00||pTDy7n3s19txqPyHO2FNYhU7L2xyleTguQXdodAVmqqg300deCZpa4XnwQiVOMM30LTWEO9v1M27HRtl1JWBjxXix,0,10-12-2024,07:46:44,,
10-12-2024,07:46:40,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907727886128|20240928123746|14.89||I/WVjCxiC4uf6cl2I6/ZWxIDNO8X11oCaKLzFVF5Qn6EK42DojE4y0t08f02qzYIGcJHGZiiFfbfd8HKWty8WW7fC0hKu0LmjabdujW4wS8vpcNI99TFZ0CJN/wkfcwue6RuSTNoLB2lHKJEIf/46BLpCd5634ea6i74RNOWtad/EBeIM36tM/bUe5yE,0,10-12-2024,07:46:40,,
10-12-2024,07:46:33,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907734631768|20240928123928|80.25||vK55TtyC6To2LlFJShoLNtjDCN91mb8kgHntt,0,10-12-2024,07:46:33,,
10-12-2024,07:46:22,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907748434404|20240928124034|24.00||vLHyMo7BWK3m6PIqq1,0,10-12-2024,07:46:22,,
10-12-2024,07:46:18,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907754504290|20240928124141|37.68||OzukodvCDR3gwC3MFSuNCsnEl0UkeUIG5twC2yi,0,10-12-2024,07:46:18,,
10-12-2024,07:46:12,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907786270960|20240928124610|9.50||DiHMT24SKxKUbLRWNdeW8mZYefq/bM/mrEy2fu6P4,0,10-12-2024,07:46:12,,
10-12-2024,07:46:07,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907811046070|20240928124936|15.49||cfUACFG5Trv8qramubN5,0,10-12-2024,07:46:07,,
10-12-2024,07:46:04,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907827147386|20240928125335|11.50||o0HrcxyghtBm1EvywSPPyCialyWEfiiI29jQYY,0,10-12-2024,07:46:04,,
10-12-2024,07:45:59,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907866119606|20240928130042|4.00||gzxUaoVRjVvgdKsOvm/BtA2ec1enfXq364Z0G2irU,0,10-12-2024,07:45:59,,
10-12-2024,07:45:42,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907850868795|20240928130010|25.50||TC2fgcuEzs4aAR1IZnlYF12g4W5oDokHdPxrWauYNyKG1JBEP4ZW0TgQm4ZUAnRqakiIq3oNbnNT6x4RFE,0,10-12-2024,07:45:42,,
